t_start (BJD),t_stop (BJD),amplitude (flux),tpeak (BJD),fwhm (BJD),duration (BJD),Duration(min),Notes
7655.968,7655.98,0.00692,,,0.012,17.28,
7659.375,7659.42,0.01051,,,0.045,64.8,
7667.12,7667.23,0.01569,,,0.11,158.4,
7671.122,7671.14,0.005,,,0.018,25.92,not a flare?
7807.813,7807.827,0.0027,,,0.014,20.16,
7809.5458,7809.5548,0.00416,,,0.009,12.96,
8021.16,8021.217,0.016,8021.163,8021.167,0.057,82.08,
8046.812,8046.82,0.007,8046.816,8046.81,0.008,11.52,
8184.9649,8184.9721,0.007,,,0.0072,10.368,
8186.9834,8186.9942,0.002,,,0.0108,15.552,
8201.03,8201.039,0.003,,,0.009,12.96,
8208.77,8208.78,0.005,,,0.01,14.4,
8757.66,8757.676,0.007,,,0.016,23.04,
8758.209,8758.214,0.0064,,,0.005,7.2,
8769.9525,8769.9576,0.004,,,0.0051,7.344,
8777.038,8777.0485,0.009,,,0.0105,15.12,
8777.1607,8777.166,0.004,,,0.0053,7.632,